idx,polygon_idx,name,shear_weightabs,area,cx,cy,x0,y0,x1,y1,x2,y2,tau_x,tau_y
51,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.085625,0.6535,0.0975,0.6547499999999999,0.0740625,0.6547499999999999,0.0853125,0.651,234563.09694205722,101130.44973824173
52,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0746875,0.65975,0.08625,0.6585,0.075,0.66225,0.0628125,0.6585,220021.74367621698,142010.40841577575
53,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.0634375,0.6635,0.075,0.66225,0.06375,0.6659999999999999,0.0515625,0.66225,195310.145511368,156961.65470295586
54,0,flange:flange,0.4166666666666667,4.394531250000035e-05,0.05125,0.65975,0.0628125,0.6585,0.0515625,0.66225,0.039375,0.6585,182670.49431362347,184404.14885830757
55,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.063125,0.661,0.075,0.66225,0.0515625,0.66225,0.0628125,0.6585,195310.145511368,222323.10245152563
56,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.0503125,0.65225,0.061875,0.651,0.050625,0.6547499999999999,0.0384375,0.651,204449.4825552109,204578.58420432857
57,0,flange:flange,0.4166666666666667,4.394531250000037e-05,0.0390625,0.656,0.050625,0.6547499999999999,0.039375,0.6585,0.0271875,0.6547499999999999,155518.79957281053,212638.87958553
58,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.026875,0.65225,0.0384375,0.651,0.0271875,0.6547499999999999,0.015,0.651,113797.39661294813,238439.09501752196
59,0,flange:flange,0.4166666666666667,4.394531249999907e-05,0.03875,0.6535,0.050625,0.6547499999999999,0.0271875,0.6547499999999999,0.0384375,0.651,155518.79957281053,363603.30389712006
60,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.074375,0.65725,0.08625,0.6585,0.0628125,0.6585,0.0740625,0.6547499999999999,220021.74367621698,170191.05997713906
61,0,flange:flange,0.4166666666666667,4.394531250000035e-05,0.0509375,0.65725,0.0628125,0.6585,0.039375,0.6585,0.050625,0.6547499999999999,182670.49431362347,294093.9638079455
62,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.06218750000000001,0.6535,0.0740625,0.6547499999999999,0.050625,0.6547499999999999,0.061875,0.651,220423.55862059942,252500.81240049255
63,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0625,0.656,0.0628125,0.6585,0.050625,0.6547499999999999,0.0740625,0.6547499999999999,220423.55862059942,171396.50481029105
64,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1578125,0.6685,0.1575,0.6659999999999999,0.1696875,0.66975,0.14625,0.66975,149068.68763408935,26500.987929385155
65,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.17,0.67225,0.1696875,0.66975,0.181875,0.6735,0.1584375,0.6735,140017.33596071447,26680.873751820378
66,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1465625,0.67225,0.14625,0.66975,0.1584375,0.6735,0.135,0.6735,155976.84560538892,31383.4153652067
67,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.158125,0.6709999999999999,0.1696875,0.66975,0.1584375,0.6735,0.14625,0.66975,149068.68763408935,53834.92877195279
68,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.18218750000000003,0.6759999999999998,0.181875,0.6735,0.1940625,0.6772499999999999,0.170625,0.6772499999999999,131982.1231444801,26650.562017677974
69,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.19437499999999996,0.67975,0.1940625,0.6772499999999999,0.20625,0.6809999999999999,0.1828125,0.6809999999999999,124636.30760635095,26523.60693210736
