element_tag,polygon_idx,polygon_name,container_idx,material_tag,weightabs,shear_weightabs,poisson,i,j,k,x,y,z,area,x0,x1,y0,y1,sigma_xx_3d,sigma_yy_3d,sigma_zz_3d,tau_xy_3d,tau_yz_3d,tau_zx_3d
6922,0,flange:flange,,89,1.0,0.4166666666666667,0.2,7,29,22,-0.075,0.681,3.0,0.0008999999999999975,-0.09,-0.06,0.666,0.696,-6186.297019523336,75564.92650255363,3066359.2542346735,-5843.767705857754,105117.98678110044,-91354.06474047652
6923,0,flange:flange,,89,1.0,0.4166666666666667,0.2,8,29,22,-0.045,0.681,3.0,0.0008999999999999975,-0.06,-0.03,0.666,0.696,-30682.120280758245,140217.66375522246,3017065.509300348,11949.901561886072,151674.27473574877,-76625.6742749115
6924,0,flange:flange,,89,1.0,0.4166666666666667,0.2,9,29,22,-0.015,0.681,3.0,0.0008999999999999975,-0.03,0.0,0.666,0.696,-40354.3657364758,166922.48701936897,2961886.339489197,27410.05535731713,197599.7580371052,-29914.464549956225
6925,0,flange:flange,,89,1.0,0.4166666666666667,0.2,10,29,22,0.015,0.681,3.0,0.0008999999999999975,0.0,0.03,0.666,0.696,-42013.855127437506,148008.65793931624,2897266.5553001068,25647.074023236833,225856.43285012495,46988.22849237671
6926,0,flange:flange,,89,1.0,0.4166666666666667,0.2,11,29,22,0.045,0.681,3.0,0.0008999999999999975,0.03,0.06,0.666,0.696,-35299.62594147143,96874.87636995199,2825758.66010959,18719.768817921482,211894.9183891217,143034.92586327097
6927,0,flange:flange,,89,1.0,0.4166666666666667,0.2,12,29,22,0.074,0.681,3.0,0.0008399999999999975,0.06,0.088,0.666,0.696,-20890.210625999025,40796.75610708911,2755071.1075954223,6995.551073253155,161526.08404306075,203240.8094856888
6928,0,flange:flange,,89,1.0,0.4166666666666667,0.2,13,29,22,0.10200000000000001,0.681,3.0,0.000839999999999998,0.088,0.116,0.666,0.696,-18583.035245235544,6562.534217441338,2687246.0285026995,-3957.853762358427,102246.77321647605,224951.17267454666
6929,0,flange:flange,,89,1.0,0.4166666666666667,0.2,14,29,22,0.13,0.681,3.0,0.000839999999999998,0.116,0.14400000000000002,0.666,0.696,-19791.106951694004,-2855.6890235446626,2623099.694066851,-4770.90109333396,61230.79635001719,203674.92535398653
6930,0,flange:flange,,89,1.0,0.4166666666666667,0.2,15,29,22,0.15800000000000003,0.681,3.0,0.0008399999999999975,0.14400000000000002,0.17200000000000001,0.666,0.696,-20088.439029525383,-2308.5221983697265,2561070.4813973275,-2330.2281835178537,45599.80170922975,184888.68863554051
6931,0,flange:flange,,89,1.0,0.4166666666666667,0.2,16,29,22,0.186,0.681,3.0,0.0008399999999999975,0.17200000000000001,0.2,0.666,0.696,-18269.165774275432,-583.5010028029792,2500047.7571000825,-1283.25399701794,38221.955388511225,168548.0244601518
6932,0,flange:flange,,89,1.0,0.4166666666666667,0.2,17,29,22,0.2138888888888889,0.681,3.0,0.0008333333333333313,0.2,0.2277777777777778,0.666,0.696,-15594.241139216,271.9269990446046,2439671.845943017,-956.6962124407291,34575.57464886457,153720.69904389483
6933,0,flange:flange,,89,1.0,0.4166666666666667,0.2,18,29,22,0.24166666666666667,0.681,3.0,0.0008333333333333297,0.2277777777777778,0.25555555555555554,0.666,0.696,-12821.789431371028,536.7231477817986,2379858.423852879,-982.4288826684158,32707.751989911,139724.65488754213
